reviewId,reviewTitle,reviewDescription,timeStamp,userId,entityId,upvotedUsersList1,upvotedUsersList2,upvotedUsersList3,downvotedUsersList1,downvotedUsersList2
1,Tasty Kadala Curry,"Kadala Curry is very flavourful at Rehmath Restaurant, Thycaud, Trivandrum.",29/08/2019 23:37:04,1,1,Null,Null,Null,Null,Null
2,Authentic 3 course meal dishes,"3 course menu will find you filling at Rehmath Restaurant, Thycaud, Trivandrum.",03/04/2019 09:40:06,4,1,Null,Null,Null,Null,Null
3,Tasty steamed banana desset,"Banana desert is one of its kind at Rehmath Restaurant, Thycaud, Trivandrum.",28/08/2017 10:20:06,4,1,2,4,10,Null,Null
4,The food is incredible,The South-Indian items served here is just delectable.,19/04/2019 11:20:06,3,1,6,Null,23,60,54
5,Quite a feast,The South Indian food served here is simply lovely.,27/08/2017 09:20:06,2,1,Null,Null,12,Null,23
6,Grilled chicken,"Their grilled chicken with ghee rice is the best in Bangalore, 
although the food isn't the most healthy, 
it certainly has taste. Nothing you can eat on a regular basis though.",31/08/2018 09:40:06,3,1,4,Null,Null,Null,Null
7,Cheating with customers on payment,They kept notice on billing counter stating that if anything happens while making payments they will not return back or not responsible for that it means it's their regular cheating with customers on payment don't visit they are cheaters all including Branch mamager,01/09/2019 13:40:06,4,1,6,Null,14,Null,22
8,Good food,Tried several dishes from here during our stay in Bangalore and had returned there several times due to the good food they serve. The service is ok but the food is excellent ,12/08/2017 13:40:06,5,1,6,48,15,7,4
9,Hotel Empire,One of the best soughted Hotels for vegetarian and non vegetarian food.There us home delivery of food also.Foid served is always freshly prepared and very tasty.The rates are also economical.,23/09/2019 09:40:06,6,1,6,Null,23,Null,Null
10,Food,Great taste!!!! Awesome ambience. Good food with the best quality products....enjoyed and satisfied..,04/09/2018 19:40:06,7,1,6,44,45,1,4
11,Horrible experience,Empire hotels should be shut down. Food is horrible and service is abysmal. It is crowded. It smells. And the food is not fresh.,11/03/2017 10:40:06,8,1,6,Null,Null,6,Null
12,Dabba restaraunt,Pls don't go and spend large amount for food in this dabba hotel small hotel is far better'. This is dabbba hotel evry u see,06/09/2019 02:40:06,9,1,6,44,17,Null,Null
13,"userId:,subDomainName:row.subDomainName,parentId:row.parentId","Staff are rude while taking orders and food are not good, chicken lollipop was made up of cumin seeds and turmeric, pathetic way of cooking food.",13/09/2019 11:00:06,10,2,Null,Null,Null,Null,Null
14,Excellent food,Late night Dinner. Food is Great. Had fun. The food is very hygienic.If you love non-vegetarian food them this is a must visit place,08/09/2019 09:40:06,6,2,Null,Null,Null,Null,Null
15,Decent,They are quite a popular chain of restaurants in and around the city of Bangalore. Try their fish fry.,03/12/2018 09:40:06,11,1,Null,Null,Null,Null,Null
16,Good for non-veg food,There are varieties of non vegetarian food stuffs served here. I had vegetarian thali here which was having enough food for one person. Service was satisfactory.,10/09/2019 09:40:06,13,0,8,Null,3,4,9
17,"Yummy food, tasty kebabs",I love the Empire special chicken fry. and tandoori Chicken. I recommend everyone who visit here to try them. Fried rice and noodles were good. Staff is friendly,11/09/2019 09:40:06,4,0,9,18,23,Null,Null
18,worst restaraunt in bangalore,"The food is really bad. I had ordered butter chicken which did not taste like butter chicken at all. Rumali roti was very thick. Chicken biryani was over cooked, with only one leg piece. I would advise people to not visit this place",20/06/2019 08:34:06,12,0,8,45,34,Null,56
19,All perfect,The service are great! All the employees are very help full and friendly... Specially Sohel.,13/09/2018 09:40:06,4,0,6,4,24,Null,Null
20,Amazing,"The staff is super friendly, the buffet is huge and very good, the chef was very attentive and we talked about how important it is to offer options for people who are not used to spicy food. Simply the best service in Bangalore",12/08/2019 09:40:06,7,0,Null,Null,Null,Null,Null
21,A great movie,"I couldn't take my eyes off the screen, i was simply compelled to watch it until the end. I already knew how it ended so i was surprised it commanded my attention so intensely.",1/03/2019 09:40:06,2,13,Null,Null,Null,Null,Null
22,Amazing movie,"My father helped put the first men on the moon. A proud veteran of decades of devoted service to NASA and the United States space program, this man is my hero.",12/08/2019 09:40:08,45,13,Null,Null,Null,Null,Null
23,Over the Moon over this,"""Awe-inspiring"" is an overused phrase, but I am using it here: ""Apollo 11"" is awe-inspiring, the best movie I have seen in years.",12/08/2019 09:40:09,21,13,Null,19,13,Null,3
